valid_start,value,lat,long,ele
1462064400,22.2,-27.4808,153.0389,8.13
1462068000,22.4,-27.4808,153.0389,8.13
1462071600,21.8,-27.4808,153.0389,8.13
1462075200,22.1,-27.4808,153.0389,8.13
1462078800,22.8,-27.4808,153.0389,8.13
1462082400,23.9,-27.4808,153.0389,8.13
1462086000,23.0,-27.4808,153.0389,8.13
1462089600,21.6,-27.4808,153.0389,8.13
1462093200,21.1,-27.4808,153.0389,8.13
1462096800,21.2,-27.4808,153.0389,8.13
1462100400,20.6,-27.4808,153.0389,8.13
1462104000,20.6,-27.4808,153.0389,8.13
1462107600,21.0,-27.4808,153.0389,8.13
1462024800,14.6,-42.8897,147.3278,50.5
1462028400,14.5,-42.8897,147.3278,50.5
1462032000,14.3,-42.8897,147.3278,50.5
1462035600,14.3,-42.8897,147.3278,50.5
1462039200,13.5,-42.8897,147.3278,50.5
1462042800,14.0,-42.8897,147.3278,50.5
1462046400,13.5,-42.8897,147.3278,50.5
1462050000,13.5,-42.8897,147.3278,50.5
1462053600,15.0,-42.8897,147.3278,50.5
1462057200,12.8,-42.8897,147.3278,50.5
1462060800,12.6,-42.8897,147.3278,50.5
1462064400,13.0,-42.8897,147.3278,50.5
1462068000,14.5,-42.8897,147.3278,50.5
1462071600,14.6,-42.8897,147.3278,50.5
1462075200,15.4,-42.8897,147.3278,50.5
1462078800,17.0,-42.8897,147.3278,50.5
1462082400,15.6,-42.8897,147.3278,50.5
1462086000,13.5,-42.8897,147.3278,50.5
1462089600,11.8,-42.8897,147.3278,50.5
1462093200,11.4,-42.8897,147.3278,50.5
1462096800,11.7,-42.8897,147.3278,50.5
1462100400,12.0,-42.8897,147.3278,50.5
1462104000,11.3,-42.8897,147.3278,50.5
1462107600,10.6,-42.8897,147.3278,50.5
1462118400,22.1,-23.4169,119.7989,524.0
1462122000,21.9,-23.4169,119.7989,524.0
1462125600,21.1,-23.4169,119.7989,524.0
1462129200,20.5,-23.4169,119.7989,524.0
1462132800,20.5,-23.4169,119.7989,524.0
1462136400,20.6,-23.4169,119.7989,524.0
1462140000,20.9,-23.4169,119.7989,524.0
1462143600,21.4,-23.4169,119.7989,524.0
1462147200,22.5,-23.4169,119.7989,524.0
1462150800,23.8,-23.4169,119.7989,524.0
1462154400,26.4,-23.4169,119.7989,524.0
1462158000,28.4,-23.4169,119.7989,524.0
1462161600,28.3,-23.4169,119.7989,524.0
1462165200,28.7,-23.4169,119.7989,524.0
1462168800,30.7,-23.4169,119.7989,524.0
1462172400,30.5,-23.4169,119.7989,524.0
1462176000,30.7,-23.4169,119.7989,524.0
1462179600,29.6,-23.4169,119.7989,524.0
1462183200,28.2,-23.4169,119.7989,524.0
1462186800,27.5,-23.4169,119.7989,524.0
1462190400,24.0,-23.4169,119.7989,524.0
1462194000,22.9,-23.4169,119.7989,524.0
1462197600,23.0,-23.4169,119.7989,524.0
1462201200,22.2,-23.4169,119.7989,524.0
1462118400,12.1,-31.9192,115.8728,24.9
1462122000,11.2,-31.9192,115.8728,24.9
1462125600,10.2,-31.9192,115.8728,24.9
1462129200,11.2,-31.9192,115.8728,24.9
1462132800,11.2,-31.9192,115.8728,24.9
1462136400,10.1,-31.9192,115.8728,24.9
1462140000,10.5,-31.9192,115.8728,24.9
1462143600,10.6,-31.9192,115.8728,24.9
1462147200,12.7,-31.9192,115.8728,24.9
1462150800,15.9,-31.9192,115.8728,24.9
1462154400,17.4,-31.9192,115.8728,24.9
1462158000,18.5,-31.9192,115.8728,24.9
1462161600,18.0,-31.9192,115.8728,24.9
1462165200,19.3,-31.9192,115.8728,24.9
1462168800,18.2,-31.9192,115.8728,24.9
1462172400,19.4,-31.9192,115.8728,24.9
1462176000,19.3,-31.9192,115.8728,24.9
1462179600,19.0,-31.9192,115.8728,24.9
1462183200,18.9,-31.9192,115.8728,24.9
1462186800,18.7,-31.9192,115.8728,24.9
1462190400,18.6,-31.9192,115.8728,24.9
1462194000,18.3,-31.9192,115.8728,24.9
1462197600,16.2,-31.9192,115.8728,24.9
1462201200,14.1,-31.9192,115.8728,24.9
1462111200,26.5,-12.4239,130.8925,30.4
1462114800,26.3,-12.4239,130.8925,30.4
1462118400,26.0,-12.4239,130.8925,30.4
1462122000,26.2,-12.4239,130.8925,30.4
1462125600,25.9,-12.4239,130.8925,30.4
1462129200,25.8,-12.4239,130.8925,30.4
1462132800,26.1,-12.4239,130.8925,30.4
1462136400,26.5,-12.4239,130.8925,30.4
1462140000,26.4,-12.4239,130.8925,30.4
1462143600,27.3,-12.4239,130.8925,30.4
1462147200,29.3,-12.4239,130.8925,30.4
1462150800,30.3,-12.4239,130.8925,30.4
1462154400,29.9,-12.4239,130.8925,30.4
1462158000,31.2,-12.4239,130.8925,30.4
1462161600,29.1,-12.4239,130.8925,30.4
1462165200,29.7,-12.4239,130.8925,30.4
1462168800,29.9,-12.4239,130.8925,30.4
1462172400,30.1,-12.4239,130.8925,30.4
1462176000,29.7,-12.4239,130.8925,30.4
1462179600,28.7,-12.4239,130.8925,30.4
1462183200,28.2,-12.4239,130.8925,30.4
1462186800,27.7,-12.4239,130.8925,30.4
1462190400,27.7,-12.4239,130.8925,30.4
1462194000,27.2,-12.4239,130.8925,30.4
1462197600,27.6,-12.4239,130.8925,30.4
1462111200,17.7,-23.7951,133.889,546.0
1462114800,17.0,-23.7951,133.889,546.0
1462118400,17.6,-23.7951,133.889,546.0
1462122000,17.3,-23.7951,133.889,546.0
1462125600,16.1,-23.7951,133.889,546.0
1462129200,16.3,-23.7951,133.889,546.0
1462132800,16.7,-23.7951,133.889,546.0
1462136400,14.0,-23.7951,133.889,546.0
1462140000,14.3,-23.7951,133.889,546.0
1462143600,14.7,-23.7951,133.889,546.0
1462147200,16.6,-23.7951,133.889,546.0
1462150800,18.9,-23.7951,133.889,546.0
1462154400,19.7,-23.7951,133.889,546.0
1462158000,20.5,-23.7951,133.889,546.0
1462161600,21.5,-23.7951,133.889,546.0
1462165200,22.4,-23.7951,133.889,546.0
1462168800,23.0,-23.7951,133.889,546.0
